PRES,BU,PLOT,BP,SIZE,STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,SIZE_MONYEAR
ABRP,1,8,1_8,E,0,8/22/2001,2001,5/9/1996,1996,2001_E
ABRP,1,8,1_8,F,0,8/22/2001,2001,5/9/1996,1996,2001_F
ABRP,1,8,1_8,G,0,8/22/2001,2001,5/9/1996,1996,2001_G
ABRP,1,8,1_8,H,0,8/22/2001,2001,5/9/1996,1996,2001_H
ABRP,1,8,1_8,I,0,8/22/2001,2001,5/9/1996,1996,2001_I
ABRP,1,8,1_8,J,0,8/22/2001,2001,5/9/1996,1996,2001_J
ABRP,1,9,1_9,A,0,8/24/2001,2001,5/9/1996,1996,2001_A
ABRP,1,9,1_9,B,0,8/24/2001,2001,5/9/1996,1996,2001_B
ABRP,1,9,1_9,C,0,8/24/2001,2001,5/9/1996,1996,2001_C
ABRP,1,9,1_9,D,1,8/24/2001,2001,5/9/1996,1996,2001_D
ABRP,1,9,1_9,E,4,8/24/2001,2001,5/9/1996,1996,2001_E
ABRP,1,9,1_9,F,2,8/24/2001,2001,5/9/1996,1996,2001_F
ABRP,1,9,1_9,G,0,8/24/2001,2001,5/9/1996,1996,2001_G
ABRP,1,9,1_9,H,0,8/24/2001,2001,5/9/1996,1996,2001_H
ABRP,1,9,1_9,I,0,8/24/2001,2001,5/9/1996,1996,2001_I
ABRP,1,9,1_9,J,0,8/24/2001,2001,5/9/1996,1996,2001_J
ABRP,1,1,1_1,SEEDLING,2,8/16/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,2,1_2,SEEDLING,1,8/17/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,3,1_3,SEEDLING,3,8/17/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,4,1_4,SEEDLING,3,8/21/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,5,1_5,SEEDLING,3,8/21/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,6,1_6,SEEDLING,3,8/22/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,7,1_7,SEEDLING,3,8/22/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,8,1_8,SEEDLING,3,8/22/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,9,1_9,SEEDLING,3,8/24/2001,2001,5/9/1996,1996,2001_SEEDLING
ABRP,1,1,1_1,SEEDLING,3,8/18/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,1,1_1,A,0,8/18/2005,2005,7/20/2004,2004,2005_A
ABRP,1,1,1_1,B,0,8/18/2005,2005,7/20/2004,2004,2005_B
ABRP,1,1,1_1,C,1,8/18/2005,2005,7/20/2004,2004,2005_C
ABRP,1,1,1_1,D,0,8/18/2005,2005,7/20/2004,2004,2005_D
ABRP,1,1,1_1,E,1,8/18/2005,2005,7/20/2004,2004,2005_E
ABRP,1,1,1_1,F,0,8/18/2005,2005,7/20/2004,2004,2005_F
ABRP,1,1,1_1,G,0,8/18/2005,2005,7/20/2004,2004,2005_G
ABRP,1,1,1_1,H,0,8/18/2005,2005,7/20/2004,2004,2005_H
ABRP,1,1,1_1,I,0,8/18/2005,2005,7/20/2004,2004,2005_I
ABRP,1,1,1_1,J,0,8/18/2005,2005,7/20/2004,2004,2005_J
ABRP,1,2,1_2,SEEDLING,1,8/18/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,2,1_2,A,0,8/18/2005,2005,7/20/2004,2004,2005_A
ABRP,1,2,1_2,B,0,8/18/2005,2005,7/20/2004,2004,2005_B
ABRP,1,2,1_2,C,1,8/18/2005,2005,7/20/2004,2004,2005_C
ABRP,1,2,1_2,D,1,8/18/2005,2005,7/20/2004,2004,2005_D
ABRP,1,2,1_2,E,0,8/18/2005,2005,7/20/2004,2004,2005_E
ABRP,1,2,1_2,F,0,8/18/2005,2005,7/20/2004,2004,2005_F
ABRP,1,2,1_2,G,0,8/18/2005,2005,7/20/2004,2004,2005_G
ABRP,1,2,1_2,H,0,8/18/2005,2005,7/20/2004,2004,2005_H
ABRP,1,2,1_2,I,0,8/18/2005,2005,7/20/2004,2004,2005_I
ABRP,1,2,1_2,J,0,8/18/2005,2005,7/20/2004,2004,2005_J
ABRP,1,3,1_3,SEEDLING,3,8/19/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,3,1_3,A,0,8/19/2005,2005,7/20/2004,2004,2005_A
ABRP,1,3,1_3,B,13,8/19/2005,2005,7/20/2004,2004,2005_B
ABRP,1,3,1_3,C,6,8/19/2005,2005,7/20/2004,2004,2005_C
ABRP,1,3,1_3,D,0,8/19/2005,2005,7/20/2004,2004,2005_D
ABRP,1,3,1_3,E,0,8/19/2005,2005,7/20/2004,2004,2005_E
ABRP,1,3,1_3,F,0,8/19/2005,2005,7/20/2004,2004,2005_F
ABRP,1,3,1_3,G,0,8/19/2005,2005,7/20/2004,2004,2005_G
ABRP,1,3,1_3,H,0,8/19/2005,2005,7/20/2004,2004,2005_H
ABRP,1,3,1_3,I,0,8/19/2005,2005,7/20/2004,2004,2005_I
ABRP,1,3,1_3,J,0,8/19/2005,2005,7/20/2004,2004,2005_J
ABRP,1,4,1_4,SEEDLING,3,8/19/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,4,1_4,A,29,8/19/2005,2005,7/20/2004,2004,2005_A
ABRP,1,4,1_4,B,20,8/19/2005,2005,7/20/2004,2004,2005_B
ABRP,1,4,1_4,C,4,8/19/2005,2005,7/20/2004,2004,2005_C
ABRP,1,4,1_4,D,0,8/19/2005,2005,7/20/2004,2004,2005_D
ABRP,1,4,1_4,E,1,8/19/2005,2005,7/20/2004,2004,2005_E
ABRP,1,4,1_4,F,0,8/19/2005,2005,7/20/2004,2004,2005_F
ABRP,1,4,1_4,G,0,8/19/2005,2005,7/20/2004,2004,2005_G
ABRP,1,4,1_4,H,0,8/19/2005,2005,7/20/2004,2004,2005_H
ABRP,1,4,1_4,I,0,8/19/2005,2005,7/20/2004,2004,2005_I
ABRP,1,4,1_4,J,0,8/19/2005,2005,7/20/2004,2004,2005_J
ABRP,1,5,1_5,SEEDLING,3,8/19/2005,2005,7/20/2004,2004,2005_SEEDLING
ABRP,1,5,1_5,A,4,8/19/2005,2005,7/20/2004,2004,2005_A
ABRP,1,5,1_5,B,3,8/19/2005,2005,7/20/2004,2004,2005_B
ABRP,1,5,1_5,C,0,8/19/2005,2005,7/20/2004,2004,2005_C
