PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,5,2,5_2,12.6,9.253164466,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,2,5_2,27.65,17.34866899,2011,10/24/2011,2010,2010,,
ABRP,5,2,5_2,11.3,10.41304849,2017,8/24/2017,2016,2016,,
ABRP,5,3,5_3,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,3,5_3,38,18.87632881,2000,8/10/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,3,5_3,51.7,34.27612335,2003,8/13/2003,5/24/2002,2002,,
ABRP,5,3,5_3,36.31578947,24.37223519,2005,9/3/2005,5/13/2004,2004,,
ABRP,5,3,5_3,11.8,7.918000811,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,3,5_3,8.05,6.992288986,2011,10/24/2011,2010,2010,,
ABRP,5,3,5_3,12,10.65240274,2017,8/29/2017,2016,2016,,
ABRP,5,4,5_4,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,4,5_4,47.5,22.56569357,2000,8/14/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,4,5_4,44.7,25.75614388,2003,8/13/2003,5/24/2002,2002,,
ABRP,5,4,5_4,42,22.55986189,2005,9/3/2005,5/13/2004,2004,,
ABRP,5,4,5_4,21.5,12.25818738,2009,7/27/2009,7/22/2008,2008,,
ABRP,5,4,5_4,34.25,20.01808393,2011,10/24/2011,2010,2010,,
ABRP,5,4,5_4,30.85,18.63012558,2017,8/30/2017,2016,2016,,
ABRP,5,5,5_5,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,5,5_5,41,29.09150717,2000,8/8/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,5,5_5,24.6,26.15419862,2003,8/15/2003,5/24/2002,2002,,
ABRP,5,5,5_5,26.65,20.26216334,2005,9/12/2005,5/13/2004,2004,,
ABRP,5,5,5_5,9.9,7.792709143,2009,7/24/2009,7/22/2008,2008,,
ABRP,5,5,5_5,30.75,17.41709686,2011,10/24/2011,2010,2010,,
ABRP,5,5,5_5,31.5,16.14897748,2017,8/23/2017,2016,2016,,
ABRP,5,6,5_6,NA,NA,1997,8/12/1997,5/16/1996,1996,,
ABRP,5,6,5_6,27.75,22.55490377,2000,8/8/2000,"5/11/1999, 5/13/1999",1999,,
ABRP,5,6,5_6,11.1,7.51069413,2003,8/15/2003,5/24/2002,2002,,
ABRP,5,6,5_6,31.3,26.92113238,2005,9/12/2005,5/13/2004,2004,,
ABRP,5,6,5_6,8.9,5.108300778,2009,7/23/2009,7/22/2008,2008,,
ABRP,5,6,5_6,18.65,15.64162799,2011,10/19/2011,2010,2010,,
ABRP,5,6,5_6,20.5,14.11046644,2017,8/24/2017,2016,2016,,
ABRP,7,1,7_1,13.75,18.10750063,2001,8/9/2001,2/11/2000,2000,,
ABRP,7,1,7_1,11.05,15.21244297,2004,8/17/2004,4/22/2003,2003,,
ABRP,7,1,7_1,10.8,11.08151614,2008,8/20/2008,2006,2006,,
ABRP,7,1,7_1,12.1,9.475175321,2010,7/20/2010,6/1/2009,2009,,
ABRP,7,1,7_1,15.7,13.41287677,2017,8/21/2017,2016,2016,,
ABRP,7,1,7_1,12.4,11.16741291,2012,8/16/2012,2011,2011,,
ABRP,7,2,7_2,25.65,18.13770426,2001,8/7/2001,2/11/2000,2000,,
ABRP,7,2,7_2,17.8,18.39794039,2004,8/27/2004,4/22/2003,2003,,
ABRP,7,2,7_2,6.75,9.89883034,2008,8/21/2008,2006,2006,,
ABRP,7,2,7_2,5.75,6.129093691,2010,7/19/2010,6/1/2009,2009,,
ABRP,7,2,7_2,9.15,11.356774,2017,8/22/2017,2016,2016,,
ABRP,7,2,7_2,1.85,1.460893742,,(blank),2011,2011,,
ABRP,7,3,7_3,19.75,20.84750395,2001,8/7/2001,2/11/2000,2000,,
ABRP,7,3,7_3,18.9,16.44096296,2004,8/19/2004,4/22/2003,2003,,
ABRP,7,3,7_3,4.65,6.098101516,2008,8/21/2008,2006,2006,,
ABRP,7,3,7_3,4.3,7.51909849,2010,7/19/2010,6/1/2009,2009,,
ABRP,7,3,7_3,7.1,4.722844816,2017,8/22/2017,2016,2016,,
ABRP,7,3,7_3,1.2,1.281446551,,(blank),2011,2011,,
ABRP,7,4,7_4,9.6,8.875750524,2001,8/10/2001,2/11/2000,2000,,
ABRP,7,4,7_4,8.85,11.11317379,2004,8/30/2004,4/22/2003,2003,,
ABRP,7,4,7_4,4.55,5.365337091,2008,8/21/2008,2006,2006,,
ABRP,7,4,7_4,20.65,16.43255754,2009,8/5/2009,Bull-Dozed 2007,2007,,
ABRP,7,4,7_4,55,16.38356044,2017,8/30/2017,2016,2016,,
ABRP,7,4,7_4,NA,NA,NA,NA,2011,2011,,
ABRP,7,5,7_5,31,24.52710638,2001,8/9/2001,2/11/2000,2000,,
ABRP,7,5,7_5,13.85,10.94616011,2004,8/31/2004,4/22/2003,2003,,
ABRP,7,5,7_5,9.4,7.301045347,2010,7/20/2010,6/1/2009,2009,,
ABRP,7,5,7_5,4.45,4.850122082,2017,8/23/2017,2016,2016,,
ABRP,7,5,7_5,4.75,5.37905294,,(blank),2011,2011,,
ABRP,7,6,7_6,17.9,18.9484064,2001,8/10/2001,2/11/2000,2000,,
ABRP,7,6,7_6,5.7,6.317061275,2004,8/28/2004,4/22/2003,2003,,
ABRP,7,6,7_6,14.2,10.82686717,2009,8/5/2009,Bull-Dozed 2007,2007,,
ABRP,7,6,7_6,33.85,25.19664765,2012,9/17/2012,2011,2011,,
ABRP,7,6,7_6,53,17.04483252,2017,9/20/2017,2016,2016,,
ABRP,7,7,7_7,14.65,15.58769758,2001,8/15/2001,2/11/2000,2000,,
ABRP,7,7,7_7,9.25,10.22831467,2004,8/30/2004,4/22/2003,2003,,
ABRP,7,7,7_7,14.85,9.895639656,2009,8/5/2009,Bull-Dozed 2007,2007,,
ABRP,7,7,7_7,56.45,30.82971055,2012,8/21/2012,2011,2011,,
ABRP,7,7,7_7,65.25,19.49865043,2017,8/17/2017,2016,2016,,
