PRES,BU,PLOT,BP,meanPerPG,StdDevPG,MONYEAR,MONDATE,LASTBURNDATE,LASTBURNYEAR,,
ABRP,40,2,40_2,8.75,6.39798488,1998,8/7/1998,3/27/1992,1992,,
ABRP,40,2,40_2,6.65,7.968853843,2003,8/19/2003,4/22/2002,2002,,
ABRP,40,2,40_2,15.45,14.88720751,2008,7/30/2008,2006,2006,,
ABRP,40,2,40_2,19.9,20.53213143,2010,7/27/2010,6/1/2009,2009,,
ABRP,40,2,40_2,52.75,14.64267376,2018,8/3/2018,2017,2017,,
ABRP,40,3,40_3,11.45,11.3623339,1998,8/7/1998,3/27/1992,1992,,
ABRP,40,3,40_3,23.6,25.35516142,2003,8/19/2003,4/22/2002,2002,,
ABRP,40,3,40_3,33.33333333,19.34534632,2005,9/13/2005,5/5/2004,2004,,
ABRP,40,3,40_3,17.2,12.75105775,2008,7/30/2008,2006,2006,,
ABRP,40,3,40_3,30.55,19.23394751,2010,7/26/2010,6/1/2009,2009,,
ABRP,40,3,40_3,40.5,22.76308184,2018,8/7/2018,2017,2017,,
ABRP,40,4,40_4,18.7,17.19271572,1998,8/26/1998,3/27/1992,1992,,
ABRP,40,4,40_4,9.65,10.82528716,2003,8/21/2003,4/22/2002,2002,,
ABRP,40,4,40_4,24.52941176,18.37157331,2005,9/13/2005,5/5/2004,2004,,
ABRP,40,4,40_4,17.1,12.25131572,2008,7/31/2008,2006,2006,,
ABRP,40,4,40_4,14.5,9.687213493,2010,7/26/2010,6/1/2009,2009,,
ABRP,40,4,40_4,23.5,11.25073097,2018,8/7/2018,2017,2017,,
ABRP,40,5,40_5,17.9,18.56680683,1998,8/6/1998,3/27/1992,1992,,
ABRP,40,5,40_5,2.65,5.343712488,2003,8/21/2003,4/22/2002,2002,,
ABRP,40,5,40_5,40,19.86062548,2005,9/13/2005,5/5/2004,2004,,
ABRP,40,5,40_5,14.05,15.60524541,2008,7/31/2008,2006,2006,,
ABRP,40,5,40_5,10.85,10.69320985,2010,7/26/2010,6/1/2009,2009,,
ABRP,40,5,40_5,27.75,16.6603058,2018,8/7/2018,2017,2017,,
ABRP,40,6,40_6,2.65,2.033275812,1998,8/26/1998,3/27/1992,1992,,
ABRP,40,6,40_6,6.4,9.03443704,2003,8/22/2003,4/22/2002,2002,,
ABRP,40,6,40_6,17.4,13.07414752,2005,9/13/2005,5/5/2004,2004,,
ABRP,40,6,40_6,12.55,8.846497969,2008,8/11/2008,2006,2006,,
ABRP,40,6,40_6,21.15,23.63600064,2010,7/27/2010,6/1/2009,2009,,
ABRP,40,6,40_6,42,21.05131575,2018,8/6/2018,2017,2017,,
ABRP,40,7,40_7,7.2,10.13903348,1998,8/27/1998,3/27/1992,1992,,
ABRP,40,7,40_7,12.2,11.16196549,2003,8/22/2003,4/22/2002,2002,,
ABRP,40,7,40_7,21.58333333,15.20441523,2005,9/14/2005,5/5/2004,2004,,
ABRP,40,7,40_7,17.3,13.92498701,2008,8/14/2008,2006,2006,,
ABRP,40,7,40_7,13.55,8.67224854,2010,7/27/2010,6/1/2009,2009,,
ABRP,40,7,40_7,48.25,18.15684589,2018,8/3/2018,2017,2017,,
ABRP,40,8,40_8,19.75,13.02578415,1998,8/27/1998,3/27/1992,1992,,
ABRP,40,8,40_8,10.65,13.61607023,2003,8/26/2003,4/22/2002,2002,,
ABRP,40,8,40_8,11.44444444,10.27974721,2005,8/23/2005,5/5/2004,2004,,
ABRP,40,8,40_8,15.7,14.29059315,2008,8/14/2008,2006,2006,,
ABRP,40,8,40_8,21.5,10.89422831,2010,7/23/2010,6/1/2009,2009,,
ABRP,40,8,40_8,48,13.89812558,2018,7/31/2018,2017,2017,,
ABRP,40,9,40_9,10.15,10.47440489,1998,8/28/1998,3/27/1992,1992,,
ABRP,40,9,40_9,15.6,12.82842239,2003,8/28/2003,4/22/2002,2002,,
ABRP,40,9,40_9,14.58333333,9.87612671,2005,8/11/2005,5/5/2004,2004,,
ABRP,40,9,40_9,15.6,12.00175426,2008,8/19/2008,2006,2006,,
ABRP,40,9,40_9,24.5,13.65939045,2010,7/22/2010,6/1/2009,2009,,
ABRP,40,9,40_9,37.75,11.52514414,2018,7/31/2018,2017,2017,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,", post"
