PRES,BU,PLOT,BP,SIZE,SIZE(noCM),STEMS,MONDATE,MONYEAR,LASTBURN,LASTBURNYEAR,GROUPS,STEMSraw
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,42244,2015,2014,2014,PBH (0 - 2.5),21
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,42243,2015,2014,2014,PBH (0 - 2.5),296
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,41946,2014,2014,2014,PBH (0 - 2.5),301
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,42965,2017,2016,2016,PBH (0 - 2.5),14
ABRP,7,2,7_2,SEEDLING,SEEDLING,3,42968,2017,2016,2016,PBH (0 - 2.5),21
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,42969,2017,2016,2016,PBH (0 - 2.5),18
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,42977,2017,2016,2016,PBH (0 - 2.5),5
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,42969,2017,2016,2016,PBH (0 - 2.5),12
ABRP,7,6,7_6,SEEDLING,SEEDLING,2,42998,2017,2016,2016,PBH (0 - 2.5),19
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,42963,2017,2016,2016,PBH (0 - 2.5),421
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,42964,2017,2016,2016,PBH (0 - 2.5),512
ABRP,7,1,7_1,SEEDLING,SEEDLING,1,43658,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,43658,2019,2018,2018,PBH (0 - 2.5),7
ABRP,7,3,7_3,SEEDLING,SEEDLING,1,,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,43668,2019,2018,2018,PBH (0 - 2.5),4
ABRP,7,5,7_5,SEEDLING,SEEDLING,2,,2019,2018,2018,PBH (0 - 2.5),6
ABRP,7,6,7_6,SEEDLING,SEEDLING,3,43668,2019,2018,2018,PBH (0 - 2.5),22
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,43662,2019,2018,2018,PBH (0 - 2.5),207
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,43662,2019,2018,2018,PBH (0 - 2.5),269
ABRP,7,1,7_1,SEEDLING,SEEDLING,2,44064,2020,2019,2019,PBH (0 - 2.5),10
ABRP,7,2,7_2,SEEDLING,SEEDLING,2,44063,2020,2019,2019,PBH (0 - 2.5),13
ABRP,7,3,7_3,SEEDLING,SEEDLING,2,44063,2020,2019,2019,PBH (0 - 2.5),6
ABRP,7,4,7_4,SEEDLING,SEEDLING,1,44062,2020,2019,2019,PBH (0 - 2.5),2
ABRP,7,5,7_5,SEEDLING,SEEDLING,1,44063,2020,2019,2019,PBH (0 - 2.5),4
ABRP,7,6,7_6,SEEDLING,SEEDLING,2,44062,2020,2019,2019,PBH (0 - 2.5),8
ABRP,7,7,7_7,SEEDLING,SEEDLING,3,44061,2020,2019,2019,PBH (0 - 2.5),114
ABRP,7,8,7_8,SEEDLING,SEEDLING,3,44064,2020,2019,2019,PBH (0 - 2.5),142
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,36028,1998,35188,1996,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,36028,1998,35188,1996,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,36739,2000,36294,1999,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,37870,2003,37398,2002,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,2,37862,2003,37398,2002,PBH (0 - 2.5),2
ABRP,12,1,12_1,SEEDLING,SEEDLING,3,38579,2005,38114,2004,PBH (0 - 2.5),3
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,38591,2005,38114,2004,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,2,40021,2009,39573,2008,PBH (0 - 2.5),2
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,40021,2009,39573,2008,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,1,40816,2011,2010,2010,PBH (0 - 2.5),1
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,40815,2011,2010,2010,PBH (0 - 2.5),3
ABRP,12,1,12_1,SEEDLING,SEEDLING,2,42248,2015,2014,2014,PBH (0 - 2.5),10
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,42228,2015,2014,2014,PBH (0 - 2.5),53
ABRP,12,1,12_1,SEEDLING,SEEDLING,3,43669,2019,2018,2018,PBH (0 - 2.5),30
ABRP,12,2,12_2,SEEDLING,SEEDLING,3,43669,2019,2018,2018,PBH (0 - 2.5),44
ABRP,13,1,13_1,SEEDLING,SEEDLING,0,36741,2000,36294,1999,PBH (0 - 2.5),0
ABRP,13,1,13_1,SEEDLING,SEEDLING,1,37870,2003,37398,2002,PBH (0 - 2.5),1
ABRP,13,1,13_1,SEEDLING,SEEDLING,3,38579,2005,38114,2004,PBH (0 - 2.5),3
ABRP,13,1,13_1,SEEDLING,SEEDLING,2,40373,2010,39965,2009,PBH (0 - 2.5),2
ABRP,13,1,13_1,SEEDLING,SEEDLING,2,42249,2015,2014,2014,PBH (0 - 2.5),13
ABRP,13,1,13_1,SEEDLING,SEEDLING,3,43671,2019,2018,2018,PBH (0 - 2.5),21
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,35653,1997,35188,1996,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,36738,2000,36294,1999,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,37862,2003,37398,2002,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,3,38591,2005,38114,2004,PBH (0 - 2.5),3
ABRP,15,1,15_1,SEEDLING,SEEDLING,1,39679,2008,2006,2006,PBH (0 - 2.5),1
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,40372,2010,39965,2009,PBH (0 - 2.5),2
ABRP,15,1,15_1,SEEDLING,SEEDLING,2,42234,2015,2014,2014,PBH (0 - 2.5),16
ABRP,15,1,15_1,SEEDLING,SEEDLING,3,43320,2018,2017,2017,PBH (0 - 2.5),379
ABRP,15,1,15_1,SEEDLING,SEEDLING,1,44049,2020,2019,2019,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,35285,1996,34460,1994,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,35286,1996,34460,1994,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,2,35292,1996,34460,1994,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,36031,1998,35577,1997,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,2,36031,1998,35577,1997,PBH (0 - 2.5),2
ABRP,21,3,21_3,SEEDLING,SEEDLING,2,36032,1998,35577,1997,PBH (0 - 2.5),2
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,37105,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,37106,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,1,37106,2001,36655,2000,PBH (0 - 2.5),1
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,37853,2003,37399,2002,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,37853,2003,37399,2002,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,1,37869,2003,37399,2002,PBH (0 - 2.5),1
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,38589,2005,38091,2004,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,38589,2005,38091,2004,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,1,38587,2005,38091,2004,PBH (0 - 2.5),1
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,39357,2007,2006,2006,PBH (0 - 2.5),1
ABRP,21,2,21_2,SEEDLING,SEEDLING,1,39357,2007,2006,2006,PBH (0 - 2.5),1
ABRP,21,3,21_3,SEEDLING,SEEDLING,0,39358,2007,2006,2006,PBH (0 - 2.5),0
ABRP,21,1,21_1,SEEDLING,SEEDLING,1,40014,2009,39619,2008,PBH (0 - 2.5),1
